item_id,knowledge_code
1,[20]
2,[25]
3,[28]
4,[30]
5,"[30,20]"
6,[20]
7,[28]
8,[28]
9,[28]
10,[28]
11,[20]
12,[28]
13,[1]
14,[1]
15,[28]
16,[7]
17,[20]
18,[30]
19,[19]
20,"[28,20]"
21,"[30,20,1]"
22,[15]
23,[3]
24,[30]
25,[26]
26,[26]
27,[3]
28,[26]
29,[15]
30,[2]
31,[15]
32,[15]
33,[26]
34,[26]
35,[3]
36,[2]
37,[15]
38,[7]
39,[26]
40,"[26,15,2,3]"
41,[8]
42,[26]
43,[3]
44,[8]
45,[26]
46,[26]
47,[15]
48,[19]
49,[7]
50,[14]
51,[8]
52,[8]
53,[12]
54,[8]
55,[8]
56,[3]
57,[15]
58,[7]
59,[3]
60,"[8,12,26,15,3,14]"
61,[31]
62,[31]
63,[18]
64,[16]
65,[16]
66,[9]
67,[23]
68,[10]
69,[21]
70,[23]
71,[21]
72,[28]
73,[16]
74,[31]
75,[10]
76,[10]
77,[32]
78,[16]
79,"[13,18]"
80,[16]
81,[16]
82,[18]
83,[31]
84,[21]
85,[31]
86,"[9,21]"
87,[10]
88,[11]
89,[13]
90,[13]
91,[24]
92,[6]
93,[24]
94,[6]
95,[11]
96,[32]
97,[11]
98,[24]
99,[22]
100,[27]
101,[6]
102,[9]
103,[6]
104,[21]
105,[6]
106,[6]
107,[24]
108,[27]
109,[11]
110,[6]
111,[6]
112,"[6,27]"
113,[11]
114,[6]
115,[24]
116,[24]
117,[5]
118,[6]
119,[5]
120,[17]
121,[17]
122,[24]
123,[29]
124,[5]
125,[6]
126,[29]
127,[6]
128,[11]
129,[21]
130,[20]
131,[5]
132,[24]
133,[29]
134,[5]
135,[5]
136,"[24,4]"
137,[24]
138,[5]
139,[6]
140,[17]
141,[6]
