user_id,item_id,score,Source_id
1759,1,0,1
1759,2,1,1
1759,3,1,1
1759,4,0,1
1759,6,0,1
1759,7,1,1
1759,8,1,1
1759,9,1,1
1759,10,1,1
1759,17,1,1
1759,11,1,1
1759,18,1,1
1759,12,1,1
1759,13,1,1
1759,14,0,1
1759,15,1,1
1759,16,0,1
1760,1,1,1
1760,2,1,1
1760,3,1,1
1760,4,1,1
1760,5,1,1
1760,6,1,1
1760,7,1,1
1760,8,1,1
1760,9,1,1
1760,10,1,1
1760,17,1,1
1760,11,1,1
1760,18,1,1
1760,12,1,1
1760,13,0,1
1760,14,0,1
1760,16,0,1
1761,1,1,1
1761,2,1,1
1761,3,1,1
1761,4,1,1
1761,5,0,1
1761,6,1,1
1761,7,1,1
1761,8,1,1
1761,9,1,1
1761,10,1,1
1761,17,1,1
1761,11,1,1
1761,18,1,1
1761,12,1,1
1761,13,1,1
1761,14,1,1
1761,16,1,1
1762,1,1,1
1762,2,1,1
1762,3,1,1
1762,4,1,1
1762,5,1,1
1762,6,1,1
1762,7,1,1
1762,8,1,1
1762,9,1,1
1762,10,1,1
1762,11,1,1
1762,18,1,1
1762,12,1,1
1762,13,1,1
1762,14,1,1
1762,15,1,1
1762,16,1,1
1763,1,1,1
1763,2,1,1
1763,3,1,1
1763,4,1,1
1763,5,1,1
1763,6,1,1
1763,7,1,1
1763,8,1,1
1763,9,1,1
1763,10,1,1
1763,17,1,1
1763,11,1,1
1763,18,1,1
1763,12,1,1
1763,19,1,1
1763,13,1,1
1763,14,1,1
1763,15,1,1
1763,16,1,1
1764,1,0,1
1764,2,1,1
1764,20,0,1
1764,3,1,1
1764,4,1,1
1764,6,1,1
1764,7,0,1
1764,8,0,1
1764,9,0,1
1764,10,0,1
1764,11,1,1
1764,12,0,1
1764,13,1,1
1764,14,0,1
1764,16,1,1
1765,1,1,1
1765,2,1,1
1765,3,1,1
1765,4,0,1
1765,5,1,1
1765,6,0,1
1765,7,1,1
1765,8,1,1
1765,9,1,1
1765,10,1,1
1765,12,1,1
1765,13,0,1
1765,14,0,1
1765,16,1,1
1766,1,1,1
1766,2,1,1
1766,20,1,1
1766,3,1,1
1766,4,1,1
1766,5,1,1
1766,6,1,1
1766,7,1,1
1766,8,1,1
1766,9,1,1
1766,10,1,1
1766,17,1,1
1766,11,1,1
1766,18,1,1
1766,12,1,1
1766,19,1,1
1766,13,1,1
1766,14,1,1
1766,15,1,1
1766,16,0,1
1767,1,1,1
1767,2,0,1
1767,3,1,1
1767,4,1,1
1767,6,0,1
1767,7,0,1
1767,8,0,1
1767,9,1,1
1767,10,0,1
1767,17,1,1
1767,11,1,1
1767,12,1,1
1767,13,0,1
1767,14,0,1
1767,16,1,1
1768,1,1,1
1768,2,1,1
1768,3,1,1
1768,4,1,1
1768,5,1,1
1768,6,1,1
1768,7,1,1
1768,8,1,1
1768,9,0,1
1768,10,1,1
1768,17,1,1
1768,11,1,1
1768,18,1,1
1768,12,1,1
1768,13,1,1
1768,14,0,1
1768,15,1,1
1768,16,1,1
1769,1,1,1
1769,2,0,1
1769,20,0,1
1769,4,0,1
1769,5,1,1
1769,6,0,1
1769,7,0,1
1769,8,1,1
