item_id,knowledge_code
1,[13]
2,[25]
3,[17]
4,[20]
5,"[20,13]"
6,[13]
7,[17]
8,[17]
9,[17]
10,[17]
11,[13]
12,[17]
13,[10]
14,[10]
15,[17]
16,[30]
17,[13]
18,[20]
19,[31]
20,"[17,13]"
21,"[20,13,10]"
22,[6]
23,[22]
24,[20]
25,[1]
26,[1]
27,[22]
28,[1]
29,[6]
30,[28]
31,[6]
32,[6]
33,[1]
34,[1]
35,[22]
36,[28]
37,[6]
38,[30]
39,[1]
40,"[1,6,28,22]"
41,[23]
42,[1]
43,[22]
44,[23]
45,[1]
46,[1]
47,[6]
48,[31]
49,[30]
50,[14]
51,[23]
52,[23]
53,[18]
54,[23]
55,[23]
56,[22]
57,[6]
58,[30]
59,[22]
60,"[23,18,1,6,22,14]"
61,[32]
62,[32]
63,[3]
64,[7]
65,[7]
66,[26]
67,[24]
68,[2]
69,[5]
70,[24]
71,[5]
72,[17]
73,[7]
74,[32]
75,[2]
76,[2]
77,[12]
78,[7]
79,"[19,3]"
80,[7]
81,[7]
82,[3]
83,[32]
84,[5]
85,[32]
86,"[26,5]"
87,[2]
88,[8]
89,[19]
90,[19]
91,[11]
92,[29]
93,[11]
94,[29]
95,[8]
96,[12]
97,[8]
98,[11]
99,[16]
100,[4]
101,[29]
102,[26]
103,[29]
104,[5]
105,[29]
106,[29]
107,[11]
108,[4]
109,[8]
110,[29]
111,[29]
112,"[29,4]"
113,[8]
114,[29]
115,[11]
116,[11]
117,[15]
118,[29]
119,[15]
120,[21]
121,[21]
122,[11]
123,[27]
124,[15]
125,[29]
126,[27]
127,[29]
128,[8]
129,[5]
130,[13]
131,[15]
132,[11]
133,[27]
134,[15]
135,[15]
136,"[11,9]"
137,[11]
138,[15]
139,[29]
140,[21]
141,[29]
