item_id,knowledge_code
1,[1]
2,[1]
3,[19]
4,[17]
5,[17]
6,[19]
7,[5]
8,[19]
9,[5]
10,[17]
11,[1]
12,[17]
13,[2]
14,[17]
15,[4]
16,"[5,20,17]"
17,[5]
18,[20]
19,[24]
20,[18]
21,[11]
22,[11]
23,[18]
24,[11]
25,[11]
26,[18]
27,[11]
28,[11]
29,[11]
30,"[11,18]"
31,[11]
32,[18]
33,[9]
34,[9]
35,[9]
36,[9]
37,[9]
38,[9]
39,[9]
40,[9]
41,[9]
42,[9]
43,[11]
44,[9]
45,[9]
46,[9]
47,[9]
48,[11]
49,[9]
50,[9]
51,[9]
52,[9]
53,"[19,9,13]"
54,[9]
55,[9]
56,[9]
57,[15]
58,[20]
59,[16]
60,[10]
61,[10]
62,[20]
63,[5]
64,[10]
65,[14]
66,[15]
67,[22]
68,[15]
69,[22]
70,[14]
71,[16]
72,[17]
73,[10]
74,[14]
75,[6]
76,[10]
77,[6]
78,[20]
79,[6]
80,[14]
81,[24]
82,[10]
83,[10]
84,"[5,15,6,10]"
85,"[22,6,9]"
86,"[5,15]"
87,[7]
88,[22]
89,[7]
90,[22]
91,[22]
92,[22]
93,[8]
94,[7]
95,[7]
96,[3]
97,[7]
98,[12]
99,[22]
100,[23]
101,[22]
102,[3]
103,[7]
104,[24]
105,[7]
106,[22]
107,[7]
108,[22]
109,[7]
110,[23]
111,[8]
112,[3]
113,"[22,3,7,23,13]"
114,"[5,7,13]"
115,"[5,22,21]"
116,"[21,2]"
117,"[20,22,12,21,13]"
