item_id,knowledge_code
1,[22]
2,[6]
3,[6]
4,[22]
5,[21]
6,[21]
7,[21]
8,[21]
9,[21]
10,[22]
11,[22]
12,[3]
13,[22]
14,[12]
15,[12]
16,[7]
17,[3]
18,[21]
19,[26]
20,[26]
21,[26]
22,[26]
23,[3]
24,[22]
25,[12]
26,[12]
27,[6]
28,[19]
29,[24]
30,[15]
31,[24]
32,[19]
33,[8]
34,[15]
35,[17]
36,[15]
37,[13]
38,[19]
39,[8]
40,[8]
41,[19]
42,[13]
43,[8]
44,[8]
45,[15]
46,[15]
47,[8]
48,[8]
49,[24]
50,[8]
51,[1]
52,[24]
53,[24]
54,[15]
55,[24]
56,[24]
57,[15]
58,[24]
59,[19]
60,[19]
61,[8]
62,[8]
63,[13]
64,[15]
65,[8]
66,[8]
67,[24]
68,[15]
69,[8]
70,[24]
71,[13]
72,[13]
73,[8]
74,[8]
75,[24]
76,[24]
77,[15]
78,[8]
79,[15]
80,[15]
81,[15]
82,[24]
83,[13]
84,[15]
85,[24]
86,[24]
87,[24]
88,[8]
89,[13]
90,[24]
91,[13]
92,[1]
