item_id,knowledge_code
1,[39]
2,[39]
3,[39]
4,[33]
5,[33]
6,[36]
7,[33]
8,[36]
9,[39]
10,[36]
11,[36]
12,[33]
13,[39]
14,[36]
15,[36]
16,[33]
17,[33]
18,[33]
19,[36]
20,[36]
21,[36]
22,[33]
23,[33]
24,[33]
25,[33]
26,[36]
27,[36]
28,[10]
29,[36]
30,[11]
31,[10]
32,[14]
33,[10]
34,[35]
35,[10]
36,[33]
37,[35]
38,[11]
39,[10]
40,[11]
41,[11]
42,[11]
43,[11]
44,[14]
45,[35]
46,[11]
47,[10]
48,[14]
49,[11]
50,[11]
51,[14]
52,[26]
53,[13]
54,[26]
55,[13]
56,[13]
57,[26]
58,[13]
59,[26]
60,[13]
61,[13]
62,[13]
63,[13]
64,[13]
65,[13]
66,[26]
67,[26]
68,[26]
69,[13]
70,[26]
71,[13]
72,[26]
73,"[11,35]"
74,[26]
75,"[11,13]"
76,[10]
77,[5]
78,[10]
79,[34]
80,[40]
81,[40]
82,[40]
83,[10]
84,[40]
85,[34]
86,[40]
87,[40]
88,[10]
89,[40]
90,[10]
91,"[5,34]"
92,[40]
93,[5]
94,[26]
95,[34]
96,[41]
97,[1]
98,[28]
99,[27]
100,[41]
101,[41]
102,[28]
103,[28]
104,[27]
105,[1]
106,[27]
107,[27]
108,[1]
109,[28]
110,[1]
111,[27]
112,[41]
113,[27]
114,[28]
115,[1]
116,[28]
117,"[41,26]"
118,"[1,28]"
119,[27]
120,[1]
