item_id,knowledge_code
1,[32]
2,[32]
3,[32]
4,[23]
5,[23]
6,[34]
7,[23]
8,[34]
9,[32]
10,[34]
11,[34]
12,[23]
13,[32]
14,[34]
15,[34]
16,[23]
17,[23]
18,[23]
19,[34]
20,[34]
21,[34]
22,[23]
23,[23]
24,[23]
25,[23]
26,[34]
27,[34]
28,[27]
29,[34]
30,[49]
31,[27]
32,[9]
33,[27]
34,[22]
35,[27]
36,[23]
37,[22]
38,[49]
39,[27]
40,[49]
41,[49]
42,[49]
43,[49]
44,[9]
45,[22]
46,[49]
47,[27]
48,[9]
49,[49]
50,[49]
51,[9]
52,[5]
53,[12]
54,[5]
55,[12]
56,[12]
57,[5]
58,[12]
59,[5]
60,[12]
61,[12]
62,[12]
63,[12]
64,[12]
65,[12]
66,[5]
67,[5]
68,[5]
69,[12]
70,[5]
71,[12]
72,[5]
73,"[49,22]"
74,[5]
75,"[49,12]"
76,[27]
77,[10]
78,[27]
79,[20]
80,[26]
81,[26]
82,[26]
83,[27]
84,[26]
85,[20]
86,[26]
87,[26]
88,[27]
89,[26]
90,[27]
91,"[10,20]"
92,[26]
93,[10]
94,[5]
95,[20]
96,[21]
97,[15]
98,[43]
99,[28]
100,[21]
101,[21]
102,[43]
103,[43]
104,[28]
105,[15]
106,[28]
107,[28]
108,[15]
109,[43]
110,[15]
111,[28]
112,[21]
113,[28]
114,[43]
115,[15]
116,[43]
117,"[21,5]"
118,"[15,43]"
119,[28]
120,[15]
