item_id,knowledge_code
1,[50]
2,[34]
3,[49]
4,[7]
5,"[7,50]"
6,[50]
7,[49]
8,[49]
9,[49]
10,[49]
11,[50]
12,[49]
13,[6]
14,[6]
15,[49]
16,[50]
17,[7]
18,[19]
19,"[49,50]"
20,"[7,50,6]"
21,[57]
22,[3]
23,[7]
24,[12]
25,[12]
26,[3]
27,[12]
28,[57]
29,[11]
30,[57]
31,[57]
32,[12]
33,[12]
34,[3]
35,[11]
36,[57]
37,[12]
38,"[12,57,11,3]"
39,[22]
40,[12]
41,[3]
42,[22]
43,[12]
44,[12]
45,[57]
46,[19]
47,[55]
48,[22]
49,[22]
50,[58]
51,[22]
52,[22]
53,[3]
54,[57]
55,[3]
56,"[22,58,12,57,3,55]"
57,[17]
58,[17]
59,[1]
60,[54]
61,[54]
62,[51]
63,[45]
64,[4]
65,[60]
66,[45]
67,[60]
68,[49]
69,[54]
70,[17]
71,[4]
72,[4]
73,[24]
74,[54]
75,"[14,1]"
76,[54]
77,[54]
78,[1]
79,[17]
80,[60]
81,[17]
82,"[51,60]"
83,[4]
84,[18]
85,[14]
86,[14]
87,[16]
88,[62]
89,[16]
90,[62]
91,[18]
92,[24]
93,[18]
94,[16]
95,[20]
96,[46]
97,[62]
98,[51]
99,[62]
100,[60]
101,[62]
102,[62]
103,[16]
104,[46]
105,[18]
106,[62]
107,[62]
108,"[62,46]"
109,[18]
110,[62]
111,[16]
112,[16]
113,[65]
114,[62]
115,[65]
116,[35]
117,[35]
118,[16]
119,[47]
120,[65]
121,[62]
122,[47]
123,[62]
124,[18]
125,[60]
126,[50]
127,[65]
128,[16]
129,[47]
130,[65]
131,[65]
132,"[16,37]"
133,[16]
134,[65]
135,[62]
136,[35]
137,[62]
