item_id,knowledge_code
1,[23]
2,[3]
3,[6]
4,[8]
5,"[8,23]"
6,[23]
7,[6]
8,[6]
9,[6]
10,[6]
11,[23]
12,[6]
13,[31]
14,[31]
15,[6]
16,[22]
17,[23]
18,[8]
19,[21]
20,"[6,23]"
21,"[8,23,31]"
22,[12]
23,[18]
24,[8]
25,[24]
26,[24]
27,[18]
28,[24]
29,[12]
30,[10]
31,[12]
32,[12]
33,[24]
34,[24]
35,[18]
36,[10]
37,[12]
38,[22]
39,[24]
40,"[24,12,10,18]"
41,[25]
42,[24]
43,[18]
44,[25]
45,[24]
46,[24]
47,[12]
48,[21]
49,[22]
50,[9]
51,[25]
52,[25]
53,[1]
54,[25]
55,[25]
56,[18]
57,[12]
58,[22]
59,[18]
60,"[25,1,24,12,18,9]"
61,[11]
62,[11]
63,[5]
64,[17]
65,[17]
66,[30]
67,[27]
68,[19]
69,[4]
70,[27]
71,[4]
72,[6]
73,[17]
74,[11]
75,[19]
76,[19]
77,[13]
78,[17]
79,"[28,5]"
80,[17]
81,[17]
82,[5]
83,[11]
84,[4]
85,[11]
86,"[30,4]"
87,[19]
88,[14]
89,[28]
90,[28]
91,[15]
92,[32]
93,[15]
94,[32]
95,[14]
96,[13]
97,[14]
98,[15]
99,[20]
100,[7]
101,[32]
102,[30]
103,[32]
104,[4]
105,[32]
106,[32]
107,[15]
108,[7]
109,[14]
110,[32]
111,[32]
112,"[32,7]"
113,[14]
114,[32]
115,[15]
116,[15]
117,[2]
118,[32]
119,[2]
120,[16]
121,[16]
122,[15]
123,[29]
124,[2]
125,[32]
126,[29]
127,[32]
128,[14]
129,[4]
130,[23]
131,[2]
132,[15]
133,[29]
134,[2]
135,[2]
136,"[15,26]"
137,[15]
138,[2]
139,[32]
140,[16]
141,[32]
