user_id,item_id,score,Source_id
2583,1,1,2
2583,2,1,2
2583,4,0,2
2583,5,1,2
2583,6,1,2
2583,7,1,2
2583,8,1,2
2583,9,1,2
2583,10,1,2
2583,11,1,2
2583,12,1,2
2583,13,0,2
2583,14,0,2
2583,16,1,2
2584,1,1,2
2584,2,1,2
2584,20,0,2
2584,4,1,2
2584,6,1,2
2584,7,1,2
2584,8,1,2
2584,9,0,2
2584,10,0,2
2584,11,0,2
2584,18,0,2
2584,12,1,2
2584,13,1,2
2584,14,1,2
2584,16,1,2
2585,1,1,2
2585,2,1,2
2585,3,1,2
2585,4,0,2
2585,5,1,2
2585,6,0,2
2585,7,1,2
2585,8,1,2
2585,9,1,2
2585,10,1,2
2585,17,1,2
2585,11,1,2
2585,18,1,2
2585,12,1,2
2585,13,1,2
2585,14,0,2
2585,15,1,2
2585,16,1,2
2586,1,1,2
2586,2,1,2
2586,3,1,2
2586,4,1,2
2586,5,1,2
2586,6,1,2
2586,7,1,2
2586,8,1,2
2586,9,1,2
2586,10,1,2
2586,11,1,2
2586,18,1,2
2586,12,1,2
2586,13,1,2
2586,14,1,2
2586,16,1,2
2587,1,1,2
2587,2,1,2
2587,3,1,2
2587,4,1,2
2587,5,1,2
2587,6,1,2
2587,7,1,2
2587,8,1,2
2587,9,1,2
2587,10,1,2
2587,17,1,2
2587,11,1,2
2587,12,1,2
2587,13,1,2
2587,14,1,2
2587,15,1,2
2587,16,1,2
2588,1,1,2
2588,2,1,2
2588,4,1,2
2588,5,1,2
2588,6,1,2
2588,7,1,2
2588,8,1,2
2588,9,1,2
2588,10,0,2
2588,17,1,2
2588,11,1,2
2588,12,1,2
2588,19,1,2
2588,13,1,2
2588,14,1,2
2588,15,1,2
2588,16,1,2
2589,1,1,2
2589,2,1,2
2589,4,1,2
2589,5,1,2
2589,6,1,2
2589,7,1,2
2589,8,1,2
2589,9,1,2
2589,10,1,2
2589,17,1,2
2589,11,1,2
2589,12,1,2
2589,13,1,2
2589,14,1,2
2589,16,1,2
2590,1,1,2
2590,2,0,2
2590,20,0,2
2590,4,1,2
2590,6,1,2
2590,7,1,2
2590,8,1,2
2590,9,0,2
2590,10,0,2
2590,17,0,2
2590,18,0,2
2590,12,1,2
2590,13,0,2
2590,14,0,2
2590,16,1,2
2591,1,1,2
2591,2,1,2
2591,20,0,2
2591,3,1,2
2591,4,1,2
2591,6,0,2
2591,7,1,2
2591,8,1,2
2591,9,1,2
2591,10,1,2
2591,11,1,2
2591,12,1,2
2591,13,1,2
2591,14,0,2
2591,16,1,2
2592,1,1,2
2592,2,0,2
2592,20,0,2
2592,4,0,2
2592,5,0,2
2592,6,1,2
2592,7,0,2
2592,8,1,2
2592,9,1,2
2592,10,0,2
2592,17,0,2
2592,11,0,2
2592,21,0,2
2592,18,0,2
2592,12,1,2
2592,19,0,2
2592,13,1,2
2592,14,1,2
2592,16,1,2
2593,1,0,2
2593,2,1,2
2593,4,1,2
2593,5,1,2
2593,6,0,2
2593,7,1,2
2593,8,1,2
2593,9,1,2
2593,10,1,2
2593,17,1,2
2593,12,1,2
2593,13,0,2
2593,14,0,2
2593,15,1,2
2593,16,0,2
2594,1,1,2
2594,2,1,2
2594,20,0,2
2594,4,1,2
2594,5,1,2
2594,6,0,2
2594,7,1,2
2594,8,1,2
2594,9,1,2
2594,10,0,2
2594,11,1,2
2594,12,1,2
2594,13,1,2
2594,14,0,2
2594,16,1,2
2595,1,1,2
2595,2,0,2
2595,4,0,2
2595,5,0,2
2595,6,0,2
2595,7,1,2
2595,8,1,2
2595,9,0,2
2595,10,1,2
2595,21,0,2
2595,18,0,2
2595,12,1,2
2595,13,1,2
2595,14,0,2
2595,16,0,2
2596,1,1,2
2596,2,1,2
2596,3,1,2
2596,4,1,2
2596,5,1,2
2596,6,1,2
2596,7,1,2
2596,8,1,2
2596,9,1,2
2596,10,1,2
2596,12,1,2
2596,13,1,2
2596,14,0,2
2596,15,1,2
2596,16,1,2
2597,1,0,2
2597,2,1,2
2597,4,1,2
2597,5,0,2
2597,6,0,2
2597,7,1,2
2597,8,0,2
2597,9,1,2
2597,10,0,2
2597,11,0,2
2597,18,0,2
2597,12,1,2
2597,13,1,2
2597,14,0,2
2597,15,1,2
2597,16,1,2
2598,1,1,2
2598,2,1,2
2598,3,1,2
2598,4,1,2
2598,5,1,2
2598,6,1,2
2598,7,1,2
2598,8,1,2
2598,9,1,2
2598,10,1,2
2598,17,1,2
2598,11,1,2
2598,21,1,2
2598,18,1,2
2598,12,1,2
2598,13,1,2
2598,14,0,2
2598,15,1,2
2598,16,1,2
2599,1,1,2
2599,2,1,2
2599,4,1,2
2599,6,0,2
2599,7,1,2
2599,8,1,2
2599,9,1,2
2599,10,1,2
2599,11,1,2
2599,12,0,2
2599,13,1,2
2599,14,0,2
2599,16,0,2
2600,1,1,2
2600,2,1,2
2600,3,1,2
2600,4,1,2
2600,5,1,2
2600,6,0,2
2600,7,1,2
2600,8,1,2
2600,9,1,2
2600,10,1,2
2600,17,1,2
2600,11,1,2
2600,18,1,2
2600,12,1,2
2600,13,1,2
2600,14,1,2
2600,15,1,2
2600,16,1,2
2601,1,1,2
2601,2,1,2
2601,4,1,2
2601,6,0,2
2601,7,0,2
2601,8,1,2
2601,9,1,2
2601,10,1,2
2601,17,1,2
2601,12,1,2
2601,13,0,2
2601,14,0,2
2601,16,0,2
2602,1,1,2
2602,2,1,2
2602,3,1,2
2602,4,1,2
2602,5,1,2
2602,6,1,2
2602,7,1,2
2602,8,1,2
2602,9,0,2
2602,10,1,2
2602,17,1,2
2602,11,1,2
2602,18,1,2
2602,12,1,2
2602,13,0,2
2602,14,0,2
2602,15,1,2
2602,16,0,2
2603,1,0,2
2603,2,0,2
2603,20,0,2
2603,4,0,2
2603,5,0,2
2603,6,0,2
2603,7,1,2
2603,8,1,2
2603,9,1,2
2603,10,0,2
2603,17,0,2
2603,11,0,2
2603,18,0,2
2603,12,1,2
2603,13,1,2
2603,14,0,2
2603,15,1,2
2603,16,0,2
2604,1,1,2
2604,2,1,2
2604,3,1,2
2604,4,1,2
2604,5,1,2
2604,6,0,2
2604,7,1,2
2604,8,1,2
2604,9,1,2
2604,10,0,2
2604,18,0,2
2604,12,1,2
2604,13,1,2
2604,14,0,2
2604,16,1,2
2605,1,1,2
2605,2,0,2
2605,3,1,2
2605,4,1,2
2605,6,1,2
2605,7,1,2
2605,8,1,2
2605,9,1,2
2605,10,1,2
2605,17,1,2
2605,12,1,2
2605,13,1,2
2605,14,0,2
2605,16,1,2
2606,1,0,2
2606,2,1,2
2606,4,1,2
2606,6,0,2
2606,7,1,2
2606,8,1,2
2606,9,0,2
2606,10,0,2
2606,17,0,2
2606,18,0,2
2606,12,0,2
2606,13,1,2
2606,14,0,2
2606,15,1,2
2606,16,0,2
2607,1,1,2
2607,2,1,2
2607,3,1,2
2607,4,1,2
2607,5,1,2
2607,6,1,2
2607,7,1,2
2607,8,1,2
2607,9,1,2
2607,10,1,2
2607,11,1,2
2607,18,1,2
2607,12,1,2
2607,13,0,2
2607,14,1,2
2607,15,1,2
2607,16,1,2
2608,1,1,2
2608,2,0,2
2608,20,0,2
2608,4,1,2
2608,5,0,2
2608,6,0,2
2608,7,1,2
2608,8,1,2
2608,9,1,2
2608,10,0,2
2608,11,1,2
2608,12,1,2
2608,13,1,2
2608,14,0,2
2608,16,0,2
2609,1,1,2
2609,2,1,2
2609,3,1,2
2609,4,0,2
2609,6,0,2
2609,7,1,2
2609,8,0,2
2609,9,1,2
2609,10,0,2
2609,17,1,2
2609,12,1,2
2609,13,0,2
2609,14,1,2
2609,15,1,2
2609,16,1,2
2610,1,1,2
2610,2,1,2
2610,3,1,2
2610,4,0,2
2610,5,1,2
2610,6,0,2
2610,7,1,2
2610,8,1,2
2610,9,1,2
2610,10,0,2
2610,11,1,2
2610,18,1,2
2610,12,1,2
2610,13,0,2
2610,14,0,2
2610,15,1,2
2610,16,0,2
2611,1,1,2
2611,2,0,2
2611,3,1,2
2611,4,1,2
2611,5,1,2
2611,6,0,2
2611,7,1,2
2611,8,1,2
2611,9,1,2
2611,10,1,2
2611,17,1,2
2611,11,1,2
2611,12,1,2
2611,13,1,2
2611,14,1,2
2611,15,1,2
2611,16,1,2
2612,1,0,2
2612,2,1,2
2612,4,0,2
2612,5,0,2
2612,6,0,2
2612,7,1,2
2612,8,1,2
2612,9,0,2
2612,10,1,2
2612,17,0,2
2612,11,0,2
2612,12,1,2
2612,13,1,2
2612,14,0,2
2612,16,1,2
2613,1,1,2
2613,2,1,2
2613,4,1,2
2613,6,0,2
2613,7,1,2
2613,8,1,2
2613,9,1,2
2613,10,0,2
2613,11,1,2
2613,18,0,2
2613,12,1,2
2613,13,1,2
2613,14,0,2
2613,16,1,2
2614,1,0,2
2614,2,1,2
2614,4,1,2
2614,6,0,2
2614,7,1,2
2614,8,1,2
2614,9,1,2
2614,10,1,2
2614,17,1,2
2614,11,1,2
2614,18,0,2
2614,12,1,2
2614,13,0,2
2614,14,0,2
2614,15,1,2
2614,16,1,2
2615,1,1,2
2615,2,1,2
2615,3,1,2
2615,4,1,2
2615,5,1,2
2615,6,0,2
2615,7,1,2
2615,8,0,2
2615,9,1,2
2615,10,1,2
2615,11,1,2
2615,12,1,2
2615,13,1,2
2615,14,1,2
2615,16,1,2
2616,1,1,2
2616,2,1,2
2616,4,1,2
2616,6,0,2
2616,7,1,2
2616,8,0,2
2616,9,1,2
2616,10,1,2
2616,17,1,2
2616,11,1,2
2616,12,1,2
2616,13,0,2
2616,14,1,2
2616,16,1,2
2617,1,1,2
2617,2,1,2
2617,3,1,2
2617,4,1,2
2617,5,1,2
2617,6,0,2
2617,7,1,2
2617,8,1,2
2617,9,1,2
2617,10,1,2
2617,17,1,2
2617,11,1,2
2617,18,1,2
2617,12,1,2
2617,19,1,2
2617,13,1,2
2617,14,1,2
2617,15,1,2
2617,16,1,2
2618,1,1,2
2618,2,1,2
2618,4,1,2
