user_id,item_id,score,Source_id
1809,1,1,2
1809,2,1,2
1809,4,0,2
1809,5,1,2
1809,6,1,2
1809,7,1,2
1809,8,1,2
1809,9,1,2
1809,10,1,2
1809,11,1,2
1809,12,1,2
1809,13,0,2
1809,14,0,2
1809,16,1,2
1810,1,1,2
1810,2,1,2
1810,20,0,2
1810,4,1,2
1810,6,1,2
1810,7,1,2
1810,8,1,2
1810,9,0,2
1810,10,0,2
1810,11,0,2
1810,18,0,2
1810,12,1,2
1810,13,1,2
1810,14,1,2
1810,16,1,2
1811,1,1,2
1811,2,1,2
1811,3,1,2
1811,4,0,2
1811,5,1,2
1811,6,0,2
1811,7,1,2
1811,8,1,2
1811,9,1,2
1811,10,1,2
1811,17,1,2
1811,11,1,2
1811,18,1,2
1811,12,1,2
1811,13,1,2
1811,14,0,2
1811,15,1,2
1811,16,1,2
1812,1,1,2
1812,2,1,2
1812,3,1,2
1812,4,1,2
1812,5,1,2
1812,6,1,2
1812,7,1,2
1812,8,1,2
1812,9,1,2
1812,10,1,2
1812,11,1,2
1812,18,1,2
1812,12,1,2
1812,13,1,2
1812,14,1,2
1812,16,1,2
1813,1,1,2
1813,2,1,2
1813,3,1,2
1813,4,1,2
1813,5,1,2
1813,6,1,2
1813,7,1,2
1813,8,1,2
1813,9,1,2
1813,10,1,2
1813,17,1,2
1813,11,1,2
1813,12,1,2
1813,13,1,2
1813,14,1,2
1813,15,1,2
1813,16,1,2
1814,1,1,2
1814,2,1,2
1814,4,1,2
1814,5,1,2
1814,6,1,2
1814,7,1,2
1814,8,1,2
1814,9,1,2
1814,10,0,2
1814,17,1,2
1814,11,1,2
1814,12,1,2
1814,19,1,2
1814,13,1,2
1814,14,1,2
1814,15,1,2
1814,16,1,2
1815,1,1,2
1815,2,1,2
1815,4,1,2
1815,5,1,2
1815,6,1,2
1815,7,1,2
1815,8,1,2
1815,9,1,2
1815,10,1,2
1815,17,1,2
1815,11,1,2
1815,12,1,2
1815,13,1,2
1815,14,1,2
1815,16,1,2
1816,1,1,2
1816,2,0,2
1816,20,0,2
1816,4,1,2
1816,6,1,2
1816,7,1,2
1816,8,1,2
1816,9,0,2
1816,10,0,2
1816,17,0,2
1816,18,0,2
1816,12,1,2
1816,13,0,2
1816,14,0,2
1816,16,1,2
1817,1,1,2
1817,2,1,2
1817,20,0,2
1817,3,1,2
1817,4,1,2
1817,6,0,2
1817,7,1,2
1817,8,1,2
1817,9,1,2
1817,10,1,2
1817,11,1,2
1817,12,1,2
1817,13,1,2
1817,14,0,2
1817,16,1,2
1818,1,1,2
1818,2,0,2
1818,20,0,2
1818,4,0,2
1818,5,0,2
1818,6,1,2
1818,7,0,2
1818,8,1,2
1818,9,1,2
1818,10,0,2
1818,17,0,2
1818,11,0,2
1818,21,0,2
1818,18,0,2
1818,12,1,2
1818,19,0,2
1818,13,1,2
1818,14,1,2
1818,16,1,2
1819,1,0,2
1819,2,1,2
1819,4,1,2
1819,5,1,2
1819,6,0,2
1819,7,1,2
1819,8,1,2
1819,9,1,2
1819,10,1,2
1819,17,1,2
1819,12,1,2
1819,13,0,2
1819,14,0,2
1819,15,1,2
1819,16,0,2
1820,1,1,2
1820,2,1,2
1820,20,0,2
1820,4,1,2
1820,5,1,2
1820,6,0,2
1820,7,1,2
1820,8,1,2
1820,9,1,2
1820,10,0,2
1820,11,1,2
1820,12,1,2
1820,13,1,2
1820,14,0,2
1820,16,1,2
1821,1,1,2
1821,2,0,2
1821,4,0,2
1821,5,0,2
1821,6,0,2
1821,7,1,2
1821,8,1,2
1821,9,0,2
1821,10,1,2
1821,21,0,2
1821,18,0,2
1821,12,1,2
1821,13,1,2
1821,14,0,2
1821,16,0,2
1822,1,1,2
1822,2,1,2
1822,3,1,2
1822,4,1,2
1822,5,1,2
1822,6,1,2
1822,7,1,2
1822,8,1,2
1822,9,1,2
1822,10,1,2
1822,12,1,2
1822,13,1,2
1822,14,0,2
1822,15,1,2
1822,16,1,2
1823,1,0,2
1823,2,1,2
1823,4,1,2
1823,5,0,2
1823,6,0,2
1823,7,1,2
1823,8,0,2
1823,9,1,2
1823,10,0,2
1823,11,0,2
1823,18,0,2
1823,12,1,2
1823,13,1,2
1823,14,0,2
1823,15,1,2
1823,16,1,2
1824,1,1,2
1824,2,1,2
1824,3,1,2
1824,4,1,2
1824,5,1,2
1824,6,1,2
1824,7,1,2
1824,8,1,2
1824,9,1,2
1824,10,1,2
1824,17,1,2
1824,11,1,2
1824,21,1,2
1824,18,1,2
1824,12,1,2
1824,13,1,2
1824,14,0,2
1824,15,1,2
1824,16,1,2
1825,1,1,2
1825,2,1,2
1825,4,1,2
1825,6,0,2
1825,7,1,2
1825,8,1,2
1825,9,1,2
1825,10,1,2
1825,11,1,2
1825,12,0,2
1825,13,1,2
1825,14,0,2
1825,16,0,2
1826,1,1,2
1826,2,1,2
1826,3,1,2
1826,4,1,2
1826,5,1,2
1826,6,0,2
1826,7,1,2
1826,8,1,2
1826,9,1,2
1826,10,1,2
1826,17,1,2
1826,11,1,2
1826,18,1,2
1826,12,1,2
1826,13,1,2
1826,14,1,2
1826,15,1,2
1826,16,1,2
1827,1,1,2
1827,2,1,2
1827,4,1,2
1827,6,0,2
1827,7,0,2
1827,8,1,2
1827,9,1,2
1827,10,1,2
1827,17,1,2
1827,12,1,2
1827,13,0,2
1827,14,0,2
1827,16,0,2
1828,1,1,2
1828,2,1,2
1828,3,1,2
1828,4,1,2
1828,5,1,2
1828,6,1,2
1828,7,1,2
1828,8,1,2
1828,9,0,2
1828,10,1,2
1828,17,1,2
1828,11,1,2
1828,18,1,2
1828,12,1,2
1828,13,0,2
1828,14,0,2
1828,15,1,2
1828,16,0,2
1829,1,0,2
1829,2,0,2
1829,20,0,2
1829,4,0,2
1829,5,0,2
1829,6,0,2
1829,7,1,2
1829,8,1,2
1829,9,1,2
1829,10,0,2
1829,17,0,2
1829,11,0,2
1829,18,0,2
1829,12,1,2
1829,13,1,2
1829,14,0,2
1829,15,1,2
1829,16,0,2
1830,1,1,2
1830,2,1,2
1830,3,1,2
1830,4,1,2
1830,5,1,2
1830,6,0,2
1830,7,1,2
1830,8,1,2
1830,9,1,2
1830,10,0,2
1830,18,0,2
1830,12,1,2
1830,13,1,2
1830,14,0,2
1830,16,1,2
1831,1,1,2
1831,2,0,2
1831,3,1,2
1831,4,1,2
1831,6,1,2
1831,7,1,2
1831,8,1,2
1831,9,1,2
1831,10,1,2
1831,17,1,2
1831,12,1,2
1831,13,1,2
1831,14,0,2
1831,16,1,2
1832,1,0,2
1832,2,1,2
1832,4,1,2
1832,6,0,2
1832,7,1,2
1832,8,1,2
1832,9,0,2
1832,10,0,2
1832,17,0,2
1832,18,0,2
1832,12,0,2
1832,13,1,2
1832,14,0,2
1832,15,1,2
1832,16,0,2
1833,1,1,2
1833,2,1,2
1833,3,1,2
1833,4,1,2
1833,5,1,2
1833,6,1,2
1833,7,1,2
1833,8,1,2
1833,9,1,2
1833,10,1,2
1833,11,1,2
1833,18,1,2
1833,12,1,2
1833,13,0,2
1833,14,1,2
1833,15,1,2
1833,16,1,2
1834,1,1,2
1834,2,0,2
1834,20,0,2
1834,4,1,2
1834,5,0,2
1834,6,0,2
1834,7,1,2
1834,8,1,2
1834,9,1,2
1834,10,0,2
1834,11,1,2
1834,12,1,2
1834,13,1,2
1834,14,0,2
1834,16,0,2
1835,1,1,2
1835,2,1,2
1835,3,1,2
1835,4,0,2
1835,6,0,2
1835,7,1,2
1835,8,0,2
1835,9,1,2
1835,10,0,2
1835,17,1,2
1835,12,1,2
1835,13,0,2
1835,14,1,2
1835,15,1,2
1835,16,1,2
1836,1,1,2
1836,2,1,2
1836,3,1,2
1836,4,0,2
1836,5,1,2
1836,6,0,2
1836,7,1,2
1836,8,1,2
1836,9,1,2
1836,10,0,2
1836,11,1,2
1836,18,1,2
1836,12,1,2
1836,13,0,2
1836,14,0,2
1836,15,1,2
1836,16,0,2
1837,1,1,2
1837,2,0,2
1837,3,1,2
1837,4,1,2
1837,5,1,2
1837,6,0,2
1837,7,1,2
1837,8,1,2
1837,9,1,2
1837,10,1,2
1837,17,1,2
1837,11,1,2
1837,12,1,2
1837,13,1,2
1837,14,1,2
1837,15,1,2
1837,16,1,2
1838,1,0,2
1838,2,1,2
1838,4,0,2
1838,5,0,2
1838,6,0,2
1838,7,1,2
1838,8,1,2
1838,9,0,2
1838,10,1,2
1838,17,0,2
1838,11,0,2
1838,12,1,2
1838,13,1,2
1838,14,0,2
1838,16,1,2
1839,1,1,2
1839,2,1,2
1839,4,1,2
1839,6,0,2
1839,7,1,2
1839,8,1,2
1839,9,1,2
1839,10,0,2
1839,11,1,2
1839,18,0,2
1839,12,1,2
1839,13,1,2
1839,14,0,2
1839,16,1,2
1840,1,0,2
1840,2,1,2
1840,4,1,2
1840,6,0,2
1840,7,1,2
1840,8,1,2
1840,9,1,2
1840,10,1,2
1840,17,1,2
1840,11,1,2
1840,18,0,2
1840,12,1,2
1840,13,0,2
1840,14,0,2
1840,15,1,2
1840,16,1,2
1841,1,1,2
1841,2,1,2
