item_id,knowledge_code
1,[12]
2,[21]
3,[21]
4,[12]
5,[4]
6,[4]
7,[4]
8,[4]
9,[4]
10,[12]
11,[12]
12,[8]
13,[12]
14,[13]
15,[13]
16,[26]
17,[8]
18,[4]
19,[5]
20,[5]
21,[5]
22,[5]
23,[8]
24,[12]
25,[13]
26,[13]
27,[21]
28,[25]
29,[1]
30,[16]
31,[1]
32,[25]
33,[7]
34,[16]
35,[15]
36,[16]
37,[17]
38,[25]
39,[7]
40,[7]
41,[25]
42,[17]
43,[7]
44,[7]
45,[16]
46,[16]
47,[7]
48,[7]
49,[1]
50,[7]
51,[2]
52,[1]
53,[1]
54,[16]
55,[1]
56,[1]
57,[16]
58,[1]
59,[25]
60,[25]
61,[7]
62,[7]
63,[17]
64,[16]
65,[7]
66,[7]
67,[1]
68,[16]
69,[7]
70,[1]
71,[17]
72,[17]
73,[7]
74,[7]
75,[1]
76,[1]
77,[16]
78,[7]
79,[16]
80,[16]
81,[16]
82,[1]
83,[17]
84,[16]
85,[1]
86,[1]
87,[1]
88,[7]
89,[17]
90,[1]
91,[17]
92,[2]
