item_id,knowledge_code
1,[45]
2,[45]
3,[45]
4,[27]
5,[27]
6,[46]
7,[27]
8,[46]
9,[45]
10,[46]
11,[46]
12,[27]
13,[45]
14,[46]
15,[46]
16,[27]
17,[27]
18,[27]
19,[46]
20,[46]
21,[46]
22,[27]
23,[27]
24,[27]
25,[27]
26,[46]
27,[46]
28,[2]
29,[46]
30,[18]
31,[2]
32,[9]
33,[2]
34,[8]
35,[2]
36,[27]
37,[8]
38,[18]
39,[2]
40,[18]
41,[18]
42,[18]
43,[18]
44,[9]
45,[8]
46,[18]
47,[2]
48,[9]
49,[18]
50,[18]
51,[9]
52,[26]
53,[7]
54,[26]
55,[7]
56,[7]
57,[26]
58,[7]
59,[26]
60,[7]
61,[7]
62,[7]
63,[7]
64,[7]
65,[7]
66,[26]
67,[26]
68,[26]
69,[7]
70,[26]
71,[7]
72,[26]
73,"[18,8]"
74,[26]
75,"[18,7]"
76,[2]
77,[32]
78,[2]
79,[20]
80,[10]
81,[10]
82,[10]
83,[2]
84,[10]
85,[20]
86,[10]
87,[10]
88,[2]
89,[10]
90,[2]
91,"[32,20]"
92,[10]
93,[32]
94,[26]
95,[20]
96,[15]
97,[42]
98,[23]
99,[11]
100,[15]
101,[15]
102,[23]
103,[23]
104,[11]
105,[42]
106,[11]
107,[11]
108,[42]
109,[23]
110,[42]
111,[11]
112,[15]
113,[11]
114,[23]
115,[42]
116,[23]
117,"[15,26]"
118,"[42,23]"
119,[11]
120,[42]
