item_id,knowledge_code
1,[17]
2,[33]
3,[15]
4,[16]
5,[31]
6,[34]
7,[3]
8,[22]
9,[3]
10,[32]
11,[22]
12,[21]
13,[2]
14,[3]
15,[33]
16,[20]
17,[8]
18,[8]
19,[32]
20,[31]
21,[8]
22,"[2,27,17]"
23,[31]
24,[22]
25,[16]
26,[21]
27,[21]
28,[9]
29,[21]
30,[8]
31,[34]
32,[2]
33,[15]
34,[31]
35,[8]
36,[17]
37,[27]
38,[16]
39,[20]
40,[8]
41,[22]
42,[27]
43,[14]
44,[26]
45,[18]
46,[25]
47,[14]
48,[5]
49,[19]
50,[5]
51,[18]
52,[1]
53,[26]
54,[14]
55,[1]
56,[14]
57,[1]
58,[18]
59,[5]
60,[25]
61,[4]
62,[7]
63,[1]
64,[6]
65,[19]
66,[19]
67,[1]
68,[5]
69,[1]
70,[5]
71,[7]
72,[1]
73,[6]
74,[14]
75,[5]
76,[14]
77,[25]
78,[19]
79,[1]
80,[19]
81,[11]
82,[12]
83,[3]
84,[29]
85,[13]
86,[5]
87,[12]
88,[14]
89,[14]
90,[12]
91,[25]
92,[28]
93,[24]
94,[24]
95,[5]
96,[12]
97,[30]
98,[26]
99,[1]
100,[26]
101,[13]
102,[5]
103,[12]
104,[28]
105,"[13,30]"
106,[28]
107,[23]
108,[12]
109,[3]
110,"[18,6]"
111,[30]
112,[5]
113,"[14,4,10]"
114,[25]
115,[28]
