user_id,item_id,score
1,1,1
1,2,0
1,3,0
1,4,1
1,5,1
1,6,0
1,7,0
1,8,1
1,9,0
1,10,1
1,11,1
1,12,1
1,13,1
2,1,0
2,2,0
2,14,0
2,3,1
2,4,0
2,5,1
2,6,0
2,7,0
2,8,0
2,9,1
2,11,0
2,13,1
3,15,1
3,1,1
3,2,1
3,14,1
3,3,1
3,4,1
3,5,1
3,6,0
3,7,0
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
4,16,1
4,1,1
4,2,0
4,14,1
4,3,1
4,4,1
4,5,1
4,6,1
4,7,0
4,8,1
4,9,1
4,17,1
4,10,1
4,11,1
4,12,1
4,13,1
6,1,1
6,2,0
6,14,1
6,3,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,11,1
6,12,1
6,13,1
7,16,1
7,1,1
7,2,1
7,14,1
7,3,1
7,5,1
7,6,0
7,7,1
7,8,1
7,9,1
7,17,1
7,10,1
7,11,1
7,12,1
7,13,0
7,18,1
5,16,1
5,1,1
5,2,1
5,14,1
5,3,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,1
5,13,1
5,18,1
8,15,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,1
8,6,1
8,7,1
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,1
8,19,0
9,16,1
9,1,1
9,2,0
9,14,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,17,1
9,10,1
9,11,1
9,13,1
9,18,1
11,16,1
11,1,1
11,2,1
11,14,1
11,3,1
11,5,1
11,6,0
11,7,1
11,8,1
11,9,1
11,17,1
11,10,1
11,11,1
11,13,1
10,15,1
10,1,1
10,2,0
10,14,1
10,3,0
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,17,1
10,10,1
10,11,1
10,12,1
10,13,1
10,18,1
12,15,1
12,1,1
12,2,0
12,14,1
12,3,1
12,5,1
12,6,0
12,7,1
12,8,1
12,9,1
12,17,1
12,10,1
12,11,1
12,12,1
12,13,1
12,18,1
13,1,1
13,2,1
13,14,1
13,3,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,0
13,10,1
13,11,1
13,13,1
14,1,0
14,2,0
14,3,0
14,5,0
14,6,0
14,7,0
14,8,1
14,9,1
14,10,1
14,11,0
14,13,1
15,1,1
15,2,0
15,3,0
15,5,1
15,6,0
15,7,1
15,8,1
15,9,1
15,10,0
15,11,0
15,12,1
15,13,1
16,1,0
16,2,1
16,14,1
16,3,1
16,5,1
16,6,0
16,7,0
16,8,0
16,9,1
16,17,0
16,10,1
16,11,0
16,13,1
16,19,0
17,16,1
17,1,1
17,2,1
17,14,1
