item_id,knowledge_code
1,[4]
2,[4]
3,[13]
4,[9]
5,[9]
6,[13]
7,[14]
8,[13]
9,[14]
10,[9]
11,[4]
12,[9]
13,[3]
14,[9]
15,[2]
16,"[14,16,9]"
17,[14]
18,[16]
19,[11]
20,[23]
21,[1]
22,[1]
23,[23]
24,[1]
25,[1]
26,[23]
27,[1]
28,[1]
29,[1]
30,"[1,23]"
31,[1]
32,[23]
33,[15]
34,[15]
35,[15]
36,[15]
37,[15]
38,[15]
39,[15]
40,[15]
41,[15]
42,[15]
43,[1]
44,[15]
45,[15]
46,[15]
47,[15]
48,[1]
49,[15]
50,[15]
51,[15]
52,[15]
53,"[13,15,21]"
54,[15]
55,[15]
56,[15]
57,[17]
58,[16]
59,[20]
60,[5]
61,[5]
62,[16]
63,[14]
64,[5]
65,[7]
66,[17]
67,[24]
68,[17]
69,[24]
70,[7]
71,[20]
72,[9]
73,[5]
74,[7]
75,[6]
76,[5]
77,[6]
78,[16]
79,[6]
80,[7]
81,[11]
82,[5]
83,[5]
84,"[14,17,6,5]"
85,"[24,6,15]"
86,"[14,17]"
87,[18]
88,[24]
89,[18]
90,[24]
91,[24]
92,[24]
93,[22]
94,[18]
95,[18]
96,[19]
97,[18]
98,[12]
99,[24]
100,[8]
101,[24]
102,[19]
103,[18]
104,[11]
105,[18]
106,[24]
107,[18]
108,[24]
109,[18]
110,[8]
111,[22]
112,[19]
113,"[24,19,18,8,21]"
114,"[14,18,21]"
115,"[14,24,10]"
116,"[10,3]"
117,"[16,24,12,10,21]"
