item_id,knowledge_code
121,[33]
122,[16]
123,[30]
124,[4]
125,"[4,33]"
126,[33]
127,[30]
128,[30]
129,[30]
130,[30]
131,[33]
132,[30]
133,[43]
134,[43]
135,[30]
136,[33]
137,[4]
138,[24]
139,"[30,33]"
140,"[4,33,43]"
141,[3]
142,[13]
143,[4]
144,[5]
145,[5]
146,[13]
147,[5]
148,[3]
149,[40]
150,[3]
151,[3]
152,[5]
153,[5]
154,[13]
155,[40]
156,[3]
157,[5]
158,"[5,3,40,13]"
159,[12]
160,[5]
161,[13]
162,[12]
163,[5]
164,[5]
165,[3]
166,[24]
167,[29]
168,[12]
169,[12]
170,[36]
171,[12]
172,[12]
173,[13]
174,[3]
175,[13]
176,"[12,36,5,3,13,29]"
177,[38]
178,[38]
179,[44]
180,[37]
181,[37]
182,[6]
183,[28]
184,[47]
185,[35]
186,[28]
187,[35]
188,[30]
189,[37]
190,[38]
191,[47]
192,[47]
193,[19]
194,[37]
195,"[41,44]"
196,[37]
197,[37]
198,[44]
199,[38]
200,[35]
201,[38]
202,"[6,35]"
203,[47]
204,[17]
205,[41]
206,[41]
207,[34]
208,[39]
209,[34]
210,[39]
211,[17]
212,[19]
213,[17]
214,[34]
215,[22]
216,[25]
217,[39]
218,[6]
219,[39]
220,[35]
221,[39]
222,[39]
223,[34]
224,[25]
225,[17]
226,[39]
227,[39]
228,"[39,25]"
229,[17]
230,[39]
231,[34]
232,[34]
233,[21]
234,[39]
235,[21]
236,[1]
237,[1]
238,[34]
239,[31]
240,[21]
241,[39]
242,[31]
243,[39]
244,[17]
245,[35]
246,[33]
247,[21]
248,[34]
249,[31]
250,[21]
251,[21]
252,"[34,14]"
253,[34]
254,[21]
255,[39]
256,[1]
257,[39]
