item_id,knowledge_code
1,[22]
2,[31]
3,[31]
4,[22]
5,[17]
6,[17]
7,[17]
8,[17]
9,[17]
10,[22]
11,[22]
12,[25]
13,[22]
14,[33]
15,[33]
16,[18]
17,[25]
18,[17]
19,[19]
20,[19]
21,[19]
22,[19]
23,[25]
24,[22]
25,[33]
26,[33]
27,[31]
28,[26]
29,[29]
30,[37]
31,[29]
32,[26]
33,[13]
34,[37]
35,[36]
36,[37]
37,[12]
38,[26]
39,[13]
40,[13]
41,[26]
42,[12]
43,[13]
44,[13]
45,[37]
46,[37]
47,[13]
48,[13]
49,[29]
50,[13]
51,[15]
52,[29]
53,[29]
54,[37]
55,[29]
56,[29]
57,[37]
58,[29]
59,[26]
60,[26]
61,[13]
62,[13]
63,[12]
64,[37]
65,[13]
66,[13]
67,[29]
68,[37]
69,[13]
70,[29]
71,[12]
72,[12]
73,[13]
74,[13]
75,[29]
76,[29]
77,[37]
78,[13]
79,[37]
80,[37]
81,[37]
82,[29]
83,[12]
84,[37]
85,[29]
86,[29]
87,[29]
88,[13]
89,[12]
90,[29]
91,[12]
92,[15]
