item_id,knowledge_code
1,[13]
2,[4]
3,[4]
4,[13]
5,[3]
6,[3]
7,[3]
8,[3]
9,[3]
10,[13]
11,[13]
12,[6]
13,[13]
14,[10]
15,[10]
16,[14]
17,[6]
18,[3]
19,[11]
20,[11]
21,[11]
22,[11]
23,[6]
24,[13]
25,[10]
26,[10]
27,[4]
28,[7]
29,[12]
30,[8]
31,[12]
32,[7]
33,[1]
34,[8]
35,[2]
36,[8]
37,[9]
38,[7]
39,[1]
40,[1]
41,[7]
42,[9]
43,[1]
44,[1]
45,[8]
46,[8]
47,[1]
48,[1]
49,[12]
50,[1]
51,[5]
52,[12]
53,[12]
54,[8]
55,[12]
56,[12]
57,[8]
58,[12]
59,[7]
60,[7]
61,[1]
62,[1]
63,[9]
64,[8]
65,[1]
66,[1]
67,[12]
68,[8]
69,[1]
70,[12]
71,[9]
72,[9]
73,[1]
74,[1]
75,[12]
76,[12]
77,[8]
78,[1]
79,[8]
80,[8]
81,[8]
82,[12]
83,[9]
84,[8]
85,[12]
86,[12]
87,[12]
88,[1]
89,[9]
90,[12]
91,[9]
92,[5]
