item_id,knowledge_code
165,[3]
166,[3]
167,[5]
168,[4]
169,[4]
170,[5]
171,[21]
172,[5]
173,[21]
174,[4]
175,[3]
176,[4]
177,[14]
178,[4]
179,[32]
180,"[21,11,4]"
181,[21]
182,[11]
183,[29]
184,[34]
185,[30]
186,[30]
187,[34]
188,[30]
189,[30]
190,[34]
191,[30]
192,[30]
193,[30]
194,"[30,34]"
195,[30]
196,[34]
197,[13]
198,[13]
199,[13]
200,[13]
201,[13]
202,[13]
203,[13]
204,[13]
205,[13]
206,[13]
207,[30]
208,[13]
209,[13]
210,[13]
211,[13]
212,[30]
213,[13]
214,[13]
215,[13]
216,[13]
217,"[5,13,18]"
218,[13]
219,[13]
220,[13]
221,[25]
222,[11]
223,[31]
224,[9]
225,[9]
226,[11]
227,[21]
228,[9]
229,[36]
230,[25]
231,[26]
232,[25]
233,[26]
234,[36]
235,[31]
236,[4]
237,[9]
238,[36]
239,[6]
240,[9]
241,[6]
242,[11]
243,[6]
244,[36]
245,[29]
246,[9]
247,[9]
248,"[21,25,6,9]"
249,"[26,6,13]"
250,"[21,25]"
251,[8]
252,[26]
253,[8]
254,[26]
255,[26]
256,[26]
257,[1]
258,[8]
259,[8]
260,[7]
261,[8]
262,[27]
263,[26]
264,[20]
265,[26]
266,[7]
267,[8]
268,[29]
269,[8]
270,[26]
271,[8]
272,[26]
273,[8]
274,[20]
275,[1]
276,[7]
277,"[26,7,8,20,18]"
278,"[21,8,18]"
279,"[21,26,28]"
280,"[28,14]"
281,"[11,26,27,28,18]"
