item_id,knowledge_code
1,[23]
2,[14]
3,[33]
4,[25]
5,[26]
6,[13]
7,[19]
8,[27]
9,[19]
10,[22]
11,[27]
12,[12]
13,[21]
14,[19]
15,[14]
16,[11]
17,[29]
18,[29]
19,[22]
20,[26]
21,[29]
22,"[21,15,23]"
23,[26]
24,[27]
25,[25]
26,[12]
27,[12]
28,[20]
29,[12]
30,[29]
31,[13]
32,[21]
33,[33]
34,[26]
35,[29]
36,[23]
37,[15]
38,[25]
39,[11]
40,[29]
41,[27]
42,[15]
43,[28]
44,[8]
45,[6]
46,[17]
47,[28]
48,[32]
49,[3]
50,[32]
51,[6]
52,[10]
53,[8]
54,[28]
55,[10]
56,[28]
57,[10]
58,[6]
59,[32]
60,[17]
61,[34]
62,[7]
63,[10]
64,[5]
65,[3]
66,[3]
67,[10]
68,[32]
69,[10]
70,[32]
71,[7]
72,[10]
73,[5]
74,[28]
75,[32]
76,[28]
77,[17]
78,[3]
79,[10]
80,[3]
81,[18]
82,[31]
83,[19]
84,[9]
85,[16]
86,[32]
87,[31]
88,[28]
89,[28]
90,[31]
91,[17]
92,[1]
93,[2]
94,[2]
95,[32]
96,[31]
97,[30]
98,[8]
99,[10]
100,[8]
101,[16]
102,[32]
103,[31]
104,[1]
105,"[16,30]"
106,[1]
107,[24]
108,[31]
109,[19]
110,"[6,5]"
111,[30]
112,[32]
113,"[28,34,4]"
114,[17]
115,[1]
