item_id,knowledge_code
1,[23]
2,[8]
3,[11]
4,[25]
5,"[25,23]"
6,[23]
7,[11]
8,[11]
9,[11]
10,[11]
11,[23]
12,[11]
13,[9]
14,[9]
15,[11]
16,[23]
17,[25]
18,[28]
19,"[11,23]"
20,"[25,23,9]"
21,[10]
22,[16]
23,[25]
24,[17]
25,[17]
26,[16]
27,[17]
28,[10]
29,[15]
30,[10]
31,[10]
32,[17]
33,[17]
34,[16]
35,[15]
36,[10]
37,[17]
38,"[17,10,15,16]"
39,[5]
40,[17]
41,[16]
42,[5]
43,[17]
44,[17]
45,[10]
46,[28]
47,[24]
48,[5]
49,[5]
50,[7]
51,[5]
52,[5]
53,[16]
54,[10]
55,[16]
56,"[5,7,17,10,16,24]"
57,[22]
58,[22]
59,[31]
60,[2]
61,[2]
62,[12]
63,[20]
64,[4]
65,[6]
66,[20]
67,[6]
68,[11]
69,[2]
70,[22]
71,[4]
72,[4]
73,[1]
74,[2]
75,"[3,31]"
76,[2]
77,[2]
78,[31]
79,[22]
80,[6]
81,[22]
82,"[12,6]"
83,[4]
84,[18]
85,[3]
86,[3]
87,[13]
88,[27]
89,[13]
90,[27]
91,[18]
92,[1]
93,[18]
94,[13]
95,[30]
96,[19]
97,[27]
98,[12]
99,[27]
100,[6]
101,[27]
102,[27]
103,[13]
104,[19]
105,[18]
106,[27]
107,[27]
108,"[27,19]"
109,[18]
110,[27]
111,[13]
112,[13]
113,[14]
114,[27]
115,[14]
116,[21]
117,[21]
118,[13]
119,[26]
120,[14]
121,[27]
122,[26]
123,[27]
124,[18]
125,[6]
126,[23]
127,[14]
128,[13]
129,[26]
130,[14]
131,[14]
132,"[13,29]"
133,[13]
134,[14]
135,[27]
136,[21]
137,[27]
